"","genome_position","N","mean_Kd_inverse","N_over_1.5","N_0.15_to_1.5","N_0.09_to_0.15","N_0.04_to_0.09","Total_over_0.04"
"83946",41973000,1000,0.0031029,0,1,2,1,4
"83947",41973500,1000,0.00298519,0,0,2,0,2
"83948",41974000,1000,0.00282248,0,0,1,0,1
"83949",41974500,1000,0.0026274,0,0,0,1,1
"83950",41975000,1000,0.0027179,0,0,0,1,1
"83951",41975500,1000,0.00289445,0,0,1,2,3
"83952",41976000,1000,0.00291151,0,0,1,3,4
"83953",41976500,1000,0.00280636,0,0,0,3,3
"83954",41977000,1000,0.00266631,0,0,0,2,2
"83955",41977500,1000,0.00257814,0,0,0,0,0
"83956",41978000,1000,0.00259626,0,0,0,0,0
"83957",41978500,1000,0.00264547,0,0,1,0,1
"83958",41979000,1000,0.00269829,0,0,1,2,3
"83959",41979500,1000,0.00267433,0,0,0,2,2
"83960",41980000,1000,0.00280788,0,0,1,1,2
"83961",41980500,1000,0.00287572,0,0,2,2,4
"83962",41981000,1000,0.00284374,0,0,1,4,5
"83963",41981500,1000,0.00293251,0,0,0,5,5
"83964",41982000,1000,0.00294492,0,0,0,2,2
"83965",41982500,1000,0.00273011,0,0,0,1,1
"83966",41983000,1000,0.0025561,0,0,0,2,2
"83967",41983500,1000,0.00268015,0,0,0,1,1
"83968",41984000,1000,0.00260439,0,0,0,0,0
"83969",41984500,1000,0.00274375,0,0,1,1,2
"83970",41985000,1000,0.00286865,0,0,2,2,4
"83971",41985500,1000,0.00269912,0,0,1,1,2
"83972",41986000,1000,0.0026615,0,0,0,0,0
"83973",41986500,1000,0.00263092,0,0,0,0,0
"83974",41987000,1000,0.0026173,0,0,0,0,0
"83975",41987500,1000,0.00280699,0,1,0,1,2
"83976",41988000,1000,0.00290994,0,1,1,1,3
"83977",41988500,1000,0.00271117,0,0,1,0,1
"83978",41989000,1000,0.00261502,0,0,0,0,0
"83979",41989500,1000,0.00263958,0,0,0,0,0
"83980",41990000,1000,0.00276462,0,0,0,0,0
"83981",41990500,1000,0.00269555,0,0,0,0,0
"83982",41991000,1000,0.00253271,0,0,0,0,0
"83983",41991500,1000,0.00265293,0,0,0,2,2
"83984",41992000,1000,0.00282148,0,0,0,2,2
"83985",41992500,1000,0.00278234,0,0,0,0,0
"83986",41993000,1000,0.00271434,0,0,0,2,2
"83987",41993500,1000,0.00265647,0,0,0,2,2
"83988",41994000,1000,0.0026611,0,0,0,2,2
"83989",41994500,1000,0.00268291,0,0,0,2,2
"83990",41995000,1000,0.00271718,0,0,0,0,0
"83991",41995500,1000,0.00270308,0,0,0,0,0
"83992",41996000,1000,0.0026787,0,0,0,0,0
"83993",41996500,1000,0.00271929,0,0,0,0,0
"83994",41997000,1000,0.00273335,0,0,0,2,2
"83995",41997500,1000,0.00263868,0,0,0,2,2
"83996",41998000,1000,0.00255488,0,0,0,1,1
"83997",41998500,1000,0.00258883,0,0,0,2,2
"83998",41999000,1000,0.00260592,0,0,0,2,2
"83999",41999500,1000,0.00264926,0,0,0,1,1
"84000",42000000,1000,0.00269622,0,0,0,0,0
"84001",42000500,1000,0.00265896,0,0,0,0,0
"84002",42001000,1000,0.00268731,0,0,1,1,2
"84003",42001500,1000,0.0026755,0,0,1,2,3
"84004",42002000,1000,0.00255061,0,0,0,1,1
"84005",42002500,1000,0.00255869,0,0,0,1,1
"84006",42003000,1000,0.00266379,0,0,0,1,1
"84007",42003500,1000,0.00273018,0,0,0,1,1
"84008",42004000,1000,0.00274372,0,0,0,4,4
"84009",42004500,1000,0.00271289,0,0,0,3,3
"84010",42005000,1000,0.00263027,0,0,0,1,1
"84011",42005500,1000,0.00249889,0,0,0,1,1
"84012",42006000,1000,0.00255392,0,0,0,2,2
"84013",42006500,1000,0.00278261,0,0,0,5,5
"84014",42007000,1000,0.00275809,0,0,1,3,4
"84015",42007500,1000,0.00262027,0,0,1,0,1
"84016",42008000,1000,0.00257253,0,0,0,1,1
"84017",42008500,1000,0.00268425,0,0,0,4,4
"84018",42009000,1000,0.00264477,0,0,0,3,3
"84019",42009500,1000,0.00253541,0,0,0,0,0
"84020",42010000,1000,0.00263195,0,0,0,0,0
"84021",42010500,1000,0.00268824,0,0,0,1,1
"84022",42011000,1000,0.00266951,0,0,0,1,1
"84023",42011500,1000,0.00271405,0,0,0,1,1
"84024",42012000,1000,0.002753,0,0,0,1,1
"84025",42012500,1000,0.00261935,0,0,0,0,0
"84026",42013000,1000,0.00264562,0,0,0,1,1
"84027",42013500,1000,0.0026585,0,0,0,1,1
"84028",42014000,1000,0.00260871,0,0,0,2,2
"84029",42014500,1000,0.002774,0,0,1,2,3
"84030",42015000,1000,0.00274076,0,0,1,0,1
"84031",42015500,1000,0.00269028,0,0,1,1,2
"84032",42016000,1000,0.00270153,0,0,1,1,2
"84033",42016500,1000,0.00268085,0,0,0,1,1
"84034",42017000,1000,0.00262972,0,0,0,1,1
"84035",42017500,1000,0.00255779,0,0,0,0,0
"84036",42018000,1000,0.0026048,0,0,0,1,1
"84037",42018500,1000,0.00260526,0,0,0,1,1
"84038",42019000,1000,0.00264399,0,0,0,1,1
"84039",42019500,1000,0.00274361,0,0,0,1,1
"84040",42020000,1000,0.00264321,0,0,0,0,0
"84041",42020500,1000,0.00262215,0,0,0,1,1
"84042",42021000,1000,0.00276429,0,0,0,1,1
"84043",42021500,1000,0.00277433,0,0,0,0,0
"84044",42022000,1000,0.00267421,0,0,0,0,0
"84045",42022500,1000,0.00298218,0,2,0,0,2
"84046",42023000,1000,0.00311586,0,2,0,1,3
"84047",42023500,1000,0.00294206,0,0,0,2,2
"84048",42024000,1000,0.0029911,0,1,0,1,2
"84049",42024500,1000,0.00291099,0,1,0,0,1
"84050",42025000,1000,0.00276574,0,0,0,2,2
"84051",42025500,1000,0.00262803,0,0,0,2,2
"84052",42026000,1000,0.00268941,0,0,0,2,2
"84053",42026500,1000,0.00295367,0,1,0,2,3
"84054",42027000,1000,0.00289474,0,1,0,1,2
"84055",42027500,1000,0.00272819,0,0,0,1,1
"84056",42028000,1000,0.00279629,0,0,1,1,2
"84057",42028500,1000,0.00281984,0,0,1,2,3
"84058",42029000,1000,0.00277692,0,0,0,1,1
"84059",42029500,1000,0.00277374,0,0,1,1,2
"84060",42030000,1000,0.00278502,0,0,2,2,4
"84061",42030500,1000,0.00282154,0,0,3,1,4
"84062",42031000,1000,0.00286096,0,0,2,1,3
"84063",42031500,1000,0.00306941,0,0,2,2,4
"84064",42032000,1000,0.00306379,0,0,3,2,5
"84065",42032500,1000,0.00281725,0,0,1,3,4
"84066",42033000,1000,0.00272809,0,0,0,2,2
"84067",42033500,1000,0.00274349,0,0,0,1,1
"84068",42034000,1000,0.00280057,0,0,0,1,1
"84069",42034500,1000,0.00277892,0,0,0,2,2
"84070",42035000,1000,0.00271227,0,0,0,2,2
"84071",42035500,1000,0.00266685,0,0,0,1,1
"84072",42036000,1000,0.00270078,0,0,0,2,2
"84073",42036500,1000,0.002615,0,0,0,1,1
"84074",42037000,1000,0.00273189,0,0,0,1,1
"84075",42037500,1000,0.00276707,0,0,0,1,1
"84076",42038000,1000,0.00259131,0,0,0,0,0
"84077",42038500,1000,0.00271377,0,0,0,1,1
"84078",42039000,1000,0.00283451,0,0,1,2,3
"84079",42039500,1000,0.00272293,0,0,1,1,2
"84080",42040000,1000,0.0025904,0,0,0,0,0
"84081",42040500,1000,0.00255532,0,0,0,0,0
"84082",42041000,1000,0.00258503,0,0,0,0,0
"84083",42041500,1000,0.0026887,0,0,0,1,1
"84084",42042000,1000,0.00274523,0,0,1,1,2
"84085",42042500,1000,0.0026708,0,0,1,0,1
"84086",42043000,1000,0.00268778,0,0,1,0,1
"84087",42043500,1000,0.002704,0,0,1,0,1
"84088",42044000,1000,0.00272809,0,0,0,3,3
"84089",42044500,1000,0.002757,0,0,0,3,3
"84090",42045000,1000,0.00290058,0,0,2,2,4
"84091",42045500,1000,0.00296213,0,0,2,3,5
"84092",42046000,1000,0.00277762,0,0,0,1,1
"84093",42046500,1000,0.00256673,0,0,0,0,0
"84094",42047000,1000,0.00260297,0,0,0,3,3
"84095",42047500,1000,0.00286537,0,0,1,5,6
"84096",42048000,1000,0.00290117,0,0,2,2,4
"84097",42048500,1000,0.00270992,0,0,1,0,1
"84098",42049000,1000,0.00254023,0,0,0,0,0
"84099",42049500,1000,0.00264289,0,0,0,2,2
"84100",42050000,1000,0.00275316,0,0,0,3,3
"84101",42050500,1000,0.00259229,0,0,0,2,2
"84102",42051000,1000,0.00282504,0,1,1,1,3
"84103",42051500,1000,0.00299888,0,1,1,0,2
"84104",42052000,1000,0.0026724,0,0,0,0,0
"84105",42052500,1000,0.00259774,0,0,0,1,1
"84106",42053000,1000,0.00273853,0,0,0,2,2
"84107",42053500,1000,0.00272414,0,0,0,1,1
"84108",42054000,1000,0.0027823,0,0,0,0,0
"84109",42054500,1000,0.00298481,0,0,1,1,2
"84110",42055000,1000,0.00284223,0,0,1,1,2
"84111",42055500,1000,0.00272456,0,0,0,0,0
"84112",42056000,1000,0.00276525,0,1,0,0,1
"84113",42056500,1000,0.00274391,0,1,0,0,1
"84114",42057000,1000,0.00273533,0,0,0,0,0
"84115",42057500,1000,0.00275012,0,0,0,2,2
"84116",42058000,1000,0.00274096,0,0,0,3,3
"84117",42058500,1000,0.00281358,0,1,0,1,2
"84118",42059000,1000,0.00279119,0,1,0,0,1
"84119",42059500,1000,0.00272967,0,0,0,1,1
"84120",42060000,1000,0.00282134,0,0,0,2,2
"84121",42060500,1000,0.00280666,0,0,0,2,2
"84122",42061000,1000,0.00266092,0,0,0,2,2
"84123",42061500,1000,0.00263497,0,0,0,1,1
"84124",42062000,1000,0.00272353,0,0,1,0,1
"84125",42062500,1000,0.00270553,0,0,1,0,1
"84126",42063000,1000,0.00277778,0,0,0,2,2
"84127",42063500,1000,0.00275776,0,0,0,3,3
"84128",42064000,1000,0.00259977,0,0,0,1,1
"84129",42064500,1000,0.00285854,0,1,0,0,1
"84130",42065000,1000,0.0028648,0,1,0,1,2
"84131",42065500,1000,0.00266132,0,0,0,2,2
"84132",42066000,1000,0.00275521,0,0,0,1,1
"84133",42066500,1000,0.00306318,0,1,0,1,2
"84134",42067000,1000,0.00300261,0,1,0,1,2
"84135",42067500,1000,0.00268792,0,0,0,1,1
"84136",42068000,1000,0.00273628,0,0,0,1,1
"84137",42068500,1000,0.00272938,0,0,1,0,1
"84138",42069000,1000,0.00268701,0,0,1,0,1
"84139",42069500,1000,0.00259473,0,0,0,0,0
"84140",42070000,1000,0.00263045,0,0,1,1,2
"84141",42070500,1000,0.00274867,0,0,1,1,2
"84142",42071000,1000,0.00274675,0,0,0,0,0
"84143",42071500,1000,0.00275874,0,0,0,0,0
"84144",42072000,1000,0.00266789,0,0,0,0,0
"84145",42072500,1000,0.00248527,0,0,0,1,1
"84146",42073000,1000,0.00260431,0,0,1,2,3
"84147",42073500,1000,0.0027858,0,0,1,1,2
"84148",42074000,1000,0.00270656,0,0,0,1,1
"84149",42074500,1000,0.00280247,0,0,1,3,4
"84150",42075000,1000,0.00285411,0,0,1,3,4
"84151",42075500,1000,0.00280125,0,0,1,3,4
"84152",42076000,1000,0.00287452,0,0,2,3,5
"84153",42076500,1000,0.0027416,0,0,1,1,2
"84154",42077000,1000,0.00261603,0,0,0,0,0
"84155",42077500,1000,0.00262466,0,0,0,0,0
"84156",42078000,1000,0.00260499,0,0,0,1,1
"84157",42078500,1000,0.00268152,0,0,0,1,1
"84158",42079000,1000,0.00269029,0,0,0,1,1
"84159",42079500,1000,0.00263095,0,0,0,2,2
"84160",42080000,1000,0.00270589,0,0,0,1,1
"84161",42080500,1000,0.0027381,0,0,0,0,0
"84162",42081000,1000,0.0028318,0,0,1,0,1
"84163",42081500,1000,0.00304595,0,0,3,1,4
"84164",42082000,1000,0.00295281,0,0,2,2,4
"84165",42082500,1000,0.0028242,0,0,0,3,3
"84166",42083000,1000,0.00272738,0,0,0,3,3
"84167",42083500,1000,0.00260423,0,0,0,2,2
"84168",42084000,1000,0.00257588,0,0,0,2,2
"84169",42084500,1000,0.00246393,0,0,0,1,1
"84170",42085000,1000,0.0026565,0,0,0,1,1
"84171",42085500,1000,0.00283519,0,0,0,3,3
"84172",42086000,1000,0.00287839,0,0,1,4,5
"84173",42086500,1000,0.00271566,0,0,1,2,3
"84174",42087000,1000,0.00246548,0,0,0,0,0
"84175",42087500,1000,0.00256975,0,0,0,0,0
"84176",42088000,1000,0.00264918,0,0,0,0,0
"84177",42088500,1000,0.00258387,0,0,0,0,0
"84178",42089000,1000,0.00260071,0,0,0,0,0
"84179",42089500,1000,0.00259914,0,0,0,0,0
"84180",42090000,1000,0.00259628,0,0,0,1,1
"84181",42090500,1000,0.00274947,0,0,1,2,3
"84182",42091000,1000,0.00277759,0,0,1,2,3
"84183",42091500,1000,0.0027375,0,0,0,1,1
"84184",42092000,1000,0.0027548,0,0,0,1,1
"84185",42092500,1000,0.0026234,0,0,0,1,1
"84186",42093000,1000,0.00269541,0,0,2,0,2
"84187",42093500,1000,0.00280462,0,0,2,1,3
"84188",42094000,1000,0.00277717,0,0,1,1,2
"84189",42094500,1000,0.00287359,0,0,2,1,3
"84190",42095000,1000,0.00270639,0,0,1,1,2
"84191",42095500,1000,0.00267757,0,0,1,0,1
"84192",42096000,1000,0.00279137,0,0,1,1,2
"84193",42096500,1000,0.00266194,0,0,0,1,1
"84194",42097000,1000,0.00275323,0,0,1,0,1
"84195",42097500,1000,0.00275608,0,0,1,0,1
"84196",42098000,1000,0.00253786,0,0,0,0,0
"84197",42098500,1000,0.00253079,0,0,0,0,0
"84198",42099000,1000,0.00263625,0,0,0,1,1
"84199",42099500,1000,0.00258766,0,0,0,1,1
"84200",42100000,1000,0.00265612,0,0,1,0,1
"84201",42100500,1000,0.00275502,0,0,1,2,3
"84202",42101000,1000,0.00271053,0,0,0,3,3
"84203",42101500,1000,0.00274512,0,0,0,1,1
"84204",42102000,1000,0.00275867,0,0,0,0,0
"84205",42102500,1000,0.00266747,0,0,0,1,1
"84206",42103000,1000,0.00260972,0,0,0,2,2
"84207",42103500,1000,0.00264584,0,0,0,1,1
"84208",42104000,1000,0.00278983,0,0,1,1,2
"84209",42104500,1000,0.00278383,0,0,1,1,2
"84210",42105000,1000,0.002689,0,0,0,0,0
"84211",42105500,1000,0.00278692,0,0,1,0,1
"84212",42106000,1000,0.00272174,0,0,1,0,1
"84213",42106500,1000,0.00278434,0,0,1,2,3
"84214",42107000,1000,0.00276987,0,0,1,2,3
"84215",42107500,1000,0.00260422,0,0,0,0,0
"84216",42108000,1000,0.00272755,0,0,0,1,1
"84217",42108500,1000,0.00281507,0,0,0,1,1
"84218",42109000,1000,0.00280257,0,0,0,0,0
"84219",42109500,1000,0.00291481,0,0,1,2,3
"84220",42110000,1000,0.00283803,0,0,1,2,3
"84221",42110500,1000,0.0028013,0,0,1,1,2
"84222",42111000,1000,0.0028714,0,0,1,2,3
"84223",42111500,1000,0.00273403,0,0,0,1,1
"84224",42112000,1000,0.0026198,0,0,0,0,0
"84225",42112500,1000,0.0025872,0,0,0,0,0
"84226",42113000,1000,0.00260361,0,0,0,0,0
"84227",42113500,1000,0.00274058,0,0,0,0,0
"84228",42114000,1000,0.00279811,0,0,0,1,1
"84229",42114500,1000,0.00281724,0,0,0,1,1
"84230",42115000,1000,0.00284457,0,0,0,0,0
"84231",42115500,1000,0.00290381,0,0,0,1,1
"84232",42116000,1000,0.00286654,0,0,0,2,2
"84233",42116500,1000,0.00272199,0,0,0,3,3
"84234",42117000,1000,0.00285224,0,1,0,2,3
"84235",42117500,1000,0.00306745,0,2,0,0,2
"84236",42118000,1000,0.0030446,0,1,0,2,3
"84237",42118500,1000,0.00283415,0,0,0,2,2
"84238",42119000,1000,0.00263402,0,0,0,0,0
"84239",42119500,1000,0.00288262,0,1,0,0,1
"84240",42120000,1000,0.00309834,0,1,0,1,2
"84241",42120500,1000,0.00289245,0,1,0,1,2
"84242",42121000,1000,0.00264346,0,1,0,0,1
"84243",42121500,1000,0.00263318,0,0,0,2,2
"84244",42122000,1000,0.00280656,0,0,0,3,3
"84245",42122500,1000,0.00268734,0,0,0,1,1
"84246",42123000,1000,0.00267837,0,0,0,1,1
"84247",42123500,1000,0.00279541,0,0,1,2,3
"84248",42124000,1000,0.00266457,0,0,1,1,2
"84249",42124500,1000,0.00272392,0,0,1,0,1
"84250",42125000,1000,0.00282417,0,0,1,0,1
"84251",42125500,1000,0.00276766,0,0,0,0,0
"84252",42126000,1000,0.00284723,0,0,1,1,2
"84253",42126500,1000,0.00288661,0,0,2,2,4
"84254",42127000,1000,0.0027993,0,0,1,1,2
"84255",42127500,1000,0.00269499,0,0,0,1,1
"84256",42128000,1000,0.00264577,0,0,0,2,2
"84257",42128500,1000,0.00261705,0,0,0,1,1
"84258",42129000,1000,0.00295525,0,1,1,0,2
"84259",42129500,1000,0.00297795,0,1,1,0,2
"84260",42130000,1000,0.00271619,0,0,0,0,0
"84261",42130500,1000,0.00280031,0,0,0,1,1
"84262",42131000,1000,0.00273685,0,0,0,1,1
"84263",42131500,1000,0.00266262,0,0,0,0,0
"84264",42132000,1000,0.00262519,0,0,0,0,0
"84265",42132500,1000,0.00263407,0,0,0,1,1
"84266",42133000,1000,0.00273084,0,0,0,1,1
"84267",42133500,1000,0.00285507,0,0,0,0,0
"84268",42134000,1000,0.00278194,0,0,0,0,0
"84269",42134500,1000,0.00263057,0,0,0,1,1
"84270",42135000,1000,0.00268676,0,0,0,1,1
"84271",42135500,1000,0.00277801,0,0,0,0,0
"84272",42136000,1000,0.00277228,0,0,0,1,1
"84273",42136500,1000,0.00270117,0,0,0,1,1
"84274",42137000,1000,0.00268854,0,0,1,1,2
"84275",42137500,1000,0.00270263,0,0,2,1,3
"84276",42138000,1000,0.00274443,0,0,1,2,3
"84277",42138500,1000,0.00276352,0,0,0,2,2
"84278",42139000,1000,0.00274537,0,0,0,0,0
"84279",42139500,1000,0.00283165,0,1,0,0,1
"84280",42140000,1000,0.00284022,0,1,0,2,3
"84281",42140500,1000,0.00272267,0,0,0,3,3
"84282",42141000,1000,0.00264382,0,0,0,1,1
"84283",42141500,1000,0.00279058,0,0,0,0,0
"84284",42142000,1000,0.00277443,0,0,0,0,0
"84285",42142500,1000,0.00259998,0,0,0,0,0
"84286",42143000,1000,0.00269605,0,0,0,1,1
"84287",42143500,1000,0.00271691,0,0,0,2,2
"84288",42144000,1000,0.00259956,0,0,0,1,1
"84289",42144500,1000,0.00277905,0,1,1,1,3
"84290",42145000,1000,0.00281987,0,1,1,2,4
"84291",42145500,1000,0.00264875,0,0,0,3,3
"84292",42146000,1000,0.00276505,0,0,1,3,4
"84293",42146500,1000,0.00293095,0,0,2,2,4
"84294",42147000,1000,0.00282079,0,0,1,1,2
"84295",42147500,1000,0.00269421,0,0,1,0,1
"84296",42148000,1000,0.00285304,0,0,1,1,2
"84297",42148500,1000,0.00275131,0,0,0,1,1
"84298",42149000,1000,0.00256546,0,0,0,0,0
"84299",42149500,1000,0.00246848,0,0,0,0,0
"84300",42150000,1000,0.00273609,0,0,1,3,4
"84301",42150500,1000,0.00290706,0,0,1,5,6
"84302",42151000,1000,0.00280606,0,0,1,3,4
"84303",42151500,1000,0.00280609,0,0,1,2,3
"84304",42152000,1000,0.00261644,0,0,0,1,1
"84305",42152500,1000,0.0027815,0,0,1,1,2
"84306",42153000,1000,0.00286125,0,0,1,2,3
"84307",42153500,1000,0.00273305,0,0,0,2,2
"84308",42154000,1000,0.00278582,0,0,0,1,1
"84309",42154500,1000,0.00266745,0,0,0,0,0
"84310",42155000,1000,0.00267555,0,0,1,1,2
"84311",42155500,1000,0.00272377,0,0,1,1,2
"84312",42156000,1000,0.00267542,0,0,0,0,0
"84313",42156500,1000,0.00271108,0,0,0,1,1
"84314",42157000,1000,0.00270554,0,0,0,1,1
"84315",42157500,1000,0.00271734,0,0,0,2,2
"84316",42158000,1000,0.00278172,0,0,1,4,5
"84317",42158500,1000,0.00276304,0,0,1,4,5
"84318",42159000,1000,0.00277225,0,0,1,4,5
"84319",42159500,1000,0.00272347,0,0,1,2,3
"84320",42160000,1000,0.00274112,0,0,0,1,1
"84321",42160500,1000,0.00268807,0,0,0,1,1
"84322",42161000,1000,0.00258021,0,0,0,1,1
"84323",42161500,1000,0.00261307,0,0,0,1,1
"84324",42162000,1000,0.00268412,0,0,0,0,0
"84325",42162500,1000,0.00284792,0,0,1,1,2
"84326",42163000,1000,0.00279899,0,0,1,1,2
"84327",42163500,1000,0.00259345,0,0,0,0,0
"84328",42164000,1000,0.00251019,0,0,0,0,0
"84329",42164500,1000,0.00274388,0,0,1,3,4
"84330",42165000,1000,0.0028078,0,0,1,3,4
"84331",42165500,1000,0.00290611,0,1,0,2,3
"84332",42166000,1000,0.0029995,0,1,0,3,4
"84333",42166500,1000,0.00285647,0,1,0,1,2
"84334",42167000,1000,0.00279928,0,1,0,0,1
"84335",42167500,1000,0.00266551,0,0,0,0,0
"84336",42168000,1000,0.00265433,0,0,0,0,0
"84337",42168500,1000,0.00276019,0,0,1,1,2
"84338",42169000,1000,0.00281986,0,0,1,3,4
"84339",42169500,1000,0.0028805,0,0,0,3,3
"84340",42170000,1000,0.00285732,0,0,1,1,2
"84341",42170500,1000,0.00265494,0,0,1,0,1
"84342",42171000,1000,0.00285043,0,1,0,1,2
"84343",42171500,1000,0.00294566,0,1,0,1,2
"84344",42172000,1000,0.0027043,0,0,0,1,1
"84345",42172500,1000,0.002783,0,0,0,1,1
"84346",42173000,1000,0.00275889,0,0,0,1,1
"84347",42173500,1000,0.00273013,0,0,0,3,3
"84348",42174000,1000,0.00279567,0,0,0,2,2
"84349",42174500,1000,0.00273295,0,0,0,0,0
"84350",42175000,1000,0.00264828,0,0,0,0,0
"84351",42175500,1000,0.00278025,0,0,0,2,2
"84352",42176000,1000,0.00285348,0,0,0,2,2
"84353",42176500,1000,0.00275388,0,0,0,2,2
"84354",42177000,1000,0.00271516,0,0,0,3,3
"84355",42177500,1000,0.00260229,0,0,0,1,1
"84356",42178000,1000,0.00262555,0,0,0,0,0
"84357",42178500,1000,0.00292804,0,1,1,1,3
"84358",42179000,1000,0.00357319,0,2,3,4,9
"84359",42179500,1000,0.00342122,0,1,2,3,6
"84360",42180000,1000,0.00272325,0,0,0,0,0
"84361",42180500,1000,0.00252444,0,0,0,0,0
"84362",42181000,1000,0.00237628,0,0,0,0,0
"84363",42181500,1000,0.00247955,0,0,0,0,0
"84364",42182000,1000,0.00285187,0,0,0,1,1
"84365",42182500,1000,0.00295042,0,0,0,4,4
"84366",42183000,1000,0.00275191,0,0,0,4,4
"84367",42183500,1000,0.00263991,0,0,0,2,2
"84368",42184000,1000,0.00258608,0,0,0,1,1
"84369",42184500,1000,0.00264873,0,0,0,0,0
"84370",42185000,1000,0.00268747,0,0,0,0,0
"84371",42185500,1000,0.00257132,0,0,0,0,0
"84372",42186000,1000,0.00267051,0,0,0,2,2
"84373",42186500,1000,0.00280919,0,0,1,3,4
"84374",42187000,1000,0.0028329,0,0,2,1,3
"84375",42187500,1000,0.00285676,0,0,1,2,3
"84376",42188000,1000,0.00284024,0,0,1,3,4
"84377",42188500,1000,0.00272905,0,0,1,1,2
"84378",42189000,1000,0.00267084,0,0,0,1,1
"84379",42189500,1000,0.00265162,0,0,0,1,1
"84380",42190000,1000,0.00265162,0,0,0,0,0
"84381",42190500,1000,0.00280649,0,0,0,0,0
"84382",42191000,1000,0.00282079,0,0,0,1,1
"84383",42191500,1000,0.00278431,0,0,1,3,4
"84384",42192000,1000,0.00278037,0,0,1,3,4
"84385",42192500,1000,0.00267942,0,0,0,1,1
"84386",42193000,1000,0.00270277,0,0,0,0,0
"84387",42193500,1000,0.00275492,0,0,0,1,1
"84388",42194000,1000,0.00266232,0,0,0,1,1
"84389",42194500,1000,0.00272342,0,0,0,2,2
"84390",42195000,1000,0.00272087,0,0,0,2,2
"84391",42195500,1000,0.00279141,0,0,0,3,3
"84392",42196000,1000,0.00291957,0,0,1,4,5
"84393",42196500,1000,0.00270768,0,0,1,1,2
"84394",42197000,1000,0.00254899,0,0,0,1,1
"84395",42197500,1000,0.00266008,0,0,0,3,3
"84396",42198000,1000,0.00284974,0,1,0,2,3
"84397",42198500,1000,0.0028829,0,1,1,1,3
"84398",42199000,1000,0.00264448,0,0,1,1,2
"84399",42199500,1000,0.00255901,0,0,0,0,0
"84400",42200000,1000,0.0026588,0,0,0,0,0
"84401",42200500,1000,0.0026738,0,0,0,2,2
"84402",42201000,1000,0.00272258,0,0,0,2,2
"84403",42201500,1000,0.0028349,0,0,0,2,2
"84404",42202000,1000,0.00279634,0,0,0,2,2
"84405",42202500,1000,0.00267046,0,0,0,0,0
"84406",42203000,1000,0.00284304,0,0,0,3,3
"84407",42203500,1000,0.00288967,0,0,1,3,4
"84408",42204000,1000,0.00280975,0,0,1,0,1
"84409",42204500,1000,0.00268365,0,0,0,1,1
"84410",42205000,1000,0.00264257,0,0,0,4,4
"84411",42205500,1000,0.00268614,0,0,0,3,3
"84412",42206000,1000,0.00262877,0,0,0,1,1
"84413",42206500,1000,0.00267052,0,0,0,1,1
"84414",42207000,1000,0.00270759,0,0,1,1,2
"84415",42207500,1000,0.00259407,0,0,1,1,2
"84416",42208000,1000,0.00265651,0,0,0,4,4
"84417",42208500,1000,0.00277395,0,0,1,5,6
"84418",42209000,1000,0.00269555,0,0,1,1,2
"84419",42209500,1000,0.00270745,0,0,0,1,1
"84420",42210000,1000,0.00265755,0,0,0,2,2
"84421",42210500,1000,0.00265648,0,0,0,3,3
"84422",42211000,1000,0.00267866,0,0,0,2,2
"84423",42211500,1000,0.00272968,0,0,0,2,2
"84424",42212000,1000,0.00287299,0,0,0,2,2
"84425",42212500,1000,0.00279165,0,0,0,0,0
"84426",42213000,1000,0.00265712,0,0,0,1,1
"84427",42213500,1000,0.00303911,0,2,1,1,4
"84428",42214000,1000,0.00299179,0,2,1,0,3
"84429",42214500,1000,0.00257227,0,0,0,1,1
"84430",42215000,1000,0.00254014,0,0,0,1,1
"84431",42215500,1000,0.00264033,0,0,1,1,2
"84432",42216000,1000,0.00270447,0,0,1,1,2
"84433",42216500,1000,0.00272646,0,0,0,2,2
"84434",42217000,1000,0.00300236,0,1,0,2,3
"84435",42217500,1000,0.003027,0,1,0,3,4
"84436",42218000,1000,0.0029668,0,0,0,3,3
"84437",42218500,1000,0.00311681,0,1,0,0,1
"84438",42219000,1000,0.00304384,0,1,0,1,2
"84439",42219500,1000,0.00288309,0,0,0,1,1
"84440",42220000,1000,0.00288795,0,0,0,1,1
"84441",42220500,1000,0.00288103,0,0,0,1,1
"84442",42221000,1000,0.00280543,0,0,0,0,0
"84443",42221500,1000,0.00285251,0,0,0,2,2
"84444",42222000,1000,0.0030851,0,0,0,6,6
"84445",42222500,1000,0.00301186,0,0,1,6,7
"84446",42223000,1000,0.00276137,0,0,1,3,4
"84447",42223500,1000,0.00278429,0,0,0,1,1
"84448",42224000,1000,0.00293699,0,1,0,1,2
"84449",42224500,1000,0.00293782,0,1,0,3,4
"84450",42225000,1000,0.00280065,0,0,1,3,4
"84451",42225500,1000,0.00266287,0,0,1,1,2
"84452",42226000,1000,0.00271515,0,0,1,1,2
"84453",42226500,1000,0.00279544,0,0,1,3,4
"84454",42227000,1000,0.00274207,0,0,0,2,2
"84455",42227500,1000,0.00268268,0,0,0,0,0
"84456",42228000,1000,0.00256852,0,0,0,0,0
"84457",42228500,1000,0.00257984,0,0,0,0,0
"84458",42229000,1000,0.00271528,0,0,0,2,2
"84459",42229500,1000,0.00274951,0,0,0,4,4
"84460",42230000,1000,0.00269079,0,0,0,2,2
"84461",42230500,1000,0.00257844,0,0,0,0,0
